month,cricket,basketball,football
2004-01,11,27,38
2004-02,6,27,32
2004-03,18,34,30
2004-04,9,18,30
2004-05,7,17,34
2004-06,7,16,38
2004-07,10,13,36
2004-08,8,19,52
2004-09,8,14,69
2004-10,9,16,60
2004-11,7,23,59
2004-12,8,25,43
2005-01,9,26,40
2005-02,6,28,36
2005-03,9,36,31
2005-04,9,19,32
2005-05,7,16,34
2005-06,9,15,30
2005-07,10,12,37
2005-08,15,13,55
2005-09,14,16,74
2005-10,9,18,68
2005-11,12,24,62
2005-12,10,23,47
2006-01,10,25,41
2006-02,10,27,34
2006-03,10,35,31
2006-04,9,17,35
2006-05,8,15,41
2006-06,8,14,65
2006-07,8,12,46
2006-08,7,20,58
2006-09,8,16,81
2006-10,7,17,67
2006-11,9,23,61
2006-12,11,21,46
2007-01,10,23,42
2007-02,11,26,32
2007-03,23,35,29
2007-04,14,17,31
2007-05,8,15,31
2007-06,8,13,30
2007-07,8,11,38
2007-08,8,12,58
2007-09,13,15,80
2007-10,9,16,67
2007-11,10,21,60
2007-12,10,20,46
2008-01,11,22,39
2008-02,10,25,32
2008-03,10,31,30
2008-04,8,17,32
2008-05,8,14,32
2008-06,9,13,35
2008-07,9,11,34
2008-08,9,20,59
2008-09,5,12,74
2008-10,9,15,61
2008-11,12,20,63
2008-12,9,20,46
2009-01,8,22,37
2009-02,10,23,32
2009-03,11,34,29
2009-04,9,16,33
2009-05,9,14,33
2009-06,13,13,30
2009-07,11,11,35
2009-08,9,11,57
2009-09,10,14,82
2009-10,8,14,68
2009-11,12,21,66
2009-12,14,21,51
2010-01,13,22,44
2010-02,14,23,37
2010-03,10,32,34
2010-04,9,17,36
2010-05,11,14,36
2010-06,10,12,51
2010-07,11,11,43
2010-08,14,14,57
2010-09,9,16,84
2010-10,14,15,73
2010-11,14,22,68
2010-12,18,21,52
2011-01,17,23,45
2011-02,25,26,36
2011-03,44,35,30
2011-04,21,16,32
2011-05,12,14,32
2011-06,11,14,28
2011-07,14,11,34
2011-08,13,12,59
2011-09,12,16,83
2011-10,12,14,73
2011-11,16,21,69
2011-12,16,22,50
2012-01,16,25,43
2012-02,25,27,33
2012-03,23,34,31
2012-04,14,16,34
2012-05,14,15,32
2012-06,9,15,36
2012-07,13,17,34
2012-08,13,21,57
2012-09,20,12,88
2012-10,13,15,73
2012-11,14,23,71
2012-12,22,22,50
2013-01,21,25,45
2013-02,15,28,36
2013-03,21,37,30
2013-04,17,20,31
2013-05,16,16,29
2013-06,23,14,28
2013-07,21,12,31
