Date,Search Volume
2004-01,11
2004-02,6
2004-03,18
2004-04,9
2004-05,7
2004-06,7
2004-07,10
2004-08,8
2004-09,8
2004-10,9
2004-11,7
2004-12,8
2005-01,9
2005-02,6
2005-03,9
2005-04,9
2005-05,7
2005-06,9
2005-07,10
2005-08,15
2005-09,14
2005-10,9
2005-11,12
2005-12,10
2006-01,10
2006-02,10
2006-03,10
2006-04,9
2006-05,8
2006-06,8
2006-07,8
2006-08,7
2006-09,8
2006-10,7
2006-11,9
2006-12,11
2007-01,10
2007-02,11
2007-03,23
2007-04,14
2007-05,8
2007-06,8
2007-07,8
2007-08,8
2007-09,13
2007-10,9
2007-11,10
2007-12,10
2008-01,11
2008-02,10
2008-03,10
2008-04,8
2008-05,8
2008-06,9
2008-07,9
2008-08,9
2008-09,5
2008-10,9
2008-11,12
2008-12,9
2009-01,8
2009-02,10
2009-03,11
2009-04,9
2009-05,9
2009-06,13
2009-07,11
2009-08,9
2009-09,10
2009-10,8
2009-11,12
2009-12,14
2010-01,13
2010-02,14
2010-03,10
2010-04,9
2010-05,11
2010-06,10
2010-07,11
2010-08,14
2010-09,9
2010-10,14
2010-11,14
2010-12,18
2011-01,17
2011-02,25
2011-03,44
2011-04,21
2011-05,12
2011-06,11
2011-07,14
2011-08,13
2011-09,12
2011-10,12
2011-11,16
2011-12,16
2012-01,16
2012-02,25
2012-03,23
2012-04,14
2012-05,14
2012-06,9
2012-07,13
2012-08,13
2012-09,20
2012-10,13
2012-11,14
2012-12,22
2013-01,21
2013-02,15
2013-03,21
2013-04,17
2013-05,16
2013-06,23
2013-07,21
2013-08,13
2013-09,10
2013-10,18
2013-11,23
2013-12,23
2014-01,17
2014-02,21
2014-03,26
2014-04,18
2014-05,17
2014-06,11
2014-07,15
2014-08,14
2014-09,12
2014-10,12
2014-11,17
2014-12,19
2015-01,20
2015-02,42
2015-03,61
2015-04,17
2015-05,17
2015-06,15
2015-07,17
2015-08,14
2015-09,8
2015-10,16
2015-11,17
2015-12,10
2016-01,20
2016-02,18
2016-03,41
2016-04,17
2016-05,16
2016-06,12
2016-07,12
2016-08,16
2016-09,12
2016-10,21
2016-11,20
2016-12,18
2017-01,20
2017-02,18
2017-03,24
2017-04,17
2017-05,15
2017-06,42
2017-07,22
2017-08,19
2017-09,23
2017-10,21
2017-11,21
2017-12,29
2018-01,32
2018-02,36
2018-03,23
2018-04,22
2018-05,22
2018-06,14
2018-07,19
2018-08,21
2018-09,31
2018-10,21
2018-11,21
2018-12,27
2019-01,30
2019-02,23
2019-03,29
2019-04,24
2019-05,23
2019-06,97
2019-07,67
2019-08,25
2019-09,17
2019-10,17
2019-11,19
2019-12,21
2020-01,28
2020-02,24
2020-03,11
2020-04,5
2020-05,5
2020-06,5
2020-07,8
2020-08,10
2020-09,16
2020-10,24
2020-11,16
2020-12,21
2021-01,22
2021-02,23
2021-03,25
2021-04,26
2021-05,10
2021-06,16
2021-07,21
2021-08,29
2021-09,26
2021-10,35
2021-11,38
2021-12,21
2022-01,24
2022-02,21
2022-03,28
2022-04,28
2022-05,24
2022-06,24
2022-07,36
2022-08,29
2022-09,42
2022-10,50
2022-11,58
